lat	long	depth	mag	stations
-29.91	181.43	205	4.4	34
-14.31	173.5	614	4.2	23
-20.1	184.4	186	4.2	10
-17.8	185.17	97	4.4	22
-21.27	173.49	48	4.9	42
-23.58	180.17	462	5.3	63
-17.9	181.5	573	4	19
-23.34	184.5	56	5.7	106
-15.56	167.62	127	6.4	122
-23.83	182.56	229	4.3	24
-11.8	165.8	112	4.2	20
-15.54	167.68	140	4.7	16
-20.65	181.32	597	4.7	39
-11.75	166.07	69	4.2	14
-24.81	180	452	4.3	19
-20.9	169.84	93	4.9	31
-11.34	166.24	103	4.6	30
-17.98	180.5	626	4.1	19
-24.34	179.52	504	4.8	34
-13.86	167.16	202	4.6	30
-35.56	180.2	42	4.6	32
-35.48	179.9	59	4.8	35
-34.2	179.43	40	5	37
-26	182.12	205	5.6	98
-19.89	183.84	244	5.3	73
-23.43	180	553	4.7	41
-18.89	169.42	239	4.5	27
-17.82	181.83	640	4.3	24
-25.68	180.34	434	4.6	41
-20.2	180.9	627	4.1	11
-15.2	184.68	99	4.1	14
-15.03	182.29	399	4.1	10
-32.22	180.2	216	5.7	90
-22.64	180.64	544	5	50
-17.42	185.16	206	4.5	22
-17.84	181.48	542	4.1	20
-15.02	184.24	339	4.6	27
-18.04	181.75	640	4.5	47
-24.6	183.5	67	4.3	25
-19.88	184.3	161	4.4	17
-20.3	183	375	4.2	15
-20.45	181.85	534	4.1	14
-17.67	187.09	45	4.9	62
-22.3	181.9	309	4.3	11
-19.85	181.85	576	4.9	54
-24.27	179.88	523	4.6	24
-15.85	185.13	290	4.6	29
-20.02	184.09	234	5.3	71
-18.56	169.31	223	4.7	35
-17.87	182	569	4.6	12
-24.08	179.5	605	4.1	21
-32.2	179.61	422	4.6	41
-20.36	181.19	637	4.2	23
-23.85	182.53	204	4.6	27
-24	182.75	175	4.5	14
-20.41	181.74	538	4.3	31
-17.72	180.3	595	5.2	74
-19.67	182.18	360	4.3	23
-17.7	182.2	445	4	12
-16.23	183.59	367	4.7	35
-26.72	183.35	190	4.5	36
-12.95	169.09	629	4.5	19
-21.97	182.32	261	4.3	13
-21.96	180.54	603	5.2	66
-20.32	181.69	508	4.5	14
-30.28	180.62	350	4.7	32
-20.2	182.3	533	4.2	11
-30.66	180.13	411	4.7	42
-16.17	184.1	338	4.3	13
-28.25	181.71	226	4.1	19
-20.47	185.68	93	5.4	85
-23.55	180.27	535	4.3	22
-20.94	181.58	573	4.3	21
-26.67	182.4	186	4.2	17
-18.13	181.52	618	4.6	41
-20.21	183.83	242	4.4	29
-18.31	182.39	342	4.2	14
-16.52	185.7	90	4.7	30
-22.36	171.65	130	4.6	39
-22.43	184.48	65	4.9	48
-20.37	182.1	397	4.2	22
-23.77	180.16	505	4.5	26
-13.65	166.66	71	4.9	52
-21.55	182.9	207	4.2	18
-16.24	185.75	154	4.5	22
-23.73	182.53	232	5	55
-22.34	171.52	106	5	43
-19.4	180.94	664	4.7	34
-24.64	180.81	397	4.3	24
-16	182.82	431	4.4	16
-19.62	185.35	57	4.9	31
-23.84	180.13	525	4.5	15
-23.54	179.93	574	4	12
-28.23	182.68	74	4.4	20
-21.68	180.63	617	5	63
-13.44	166.53	44	4.7	27
-24.96	180.22	470	4.8	41
-20.08	182.74	298	4.5	33
-24.36	182.84	148	4.1	16
-14.7	166	48	5.3	16
-18.2	183.68	107	4.8	52
-16.65	185.51	218	5	52
-18.11	181.67	597	4.6	28
-17.95	181.65	619	4.3	26
-15.5	186.9	46	4.7	18
-23.36	180.01	553	5.3	61
-19.15	169.5	150	4.2	12
-10.97	166.26	180	4.7	26
-14.85	167.24	97	4.5	26
-17.8	181.38	587	5.1	47
-22.5	170.4	106	4.9	38
-29.1	182.1	179	4.4	19
-20.32	180.88	680	4.2	22
-16.09	184.89	304	4.6	34
-19.18	169.33	254	4.7	35
-23.81	179.36	521	4.2	23
-23.79	179.89	526	4.9	43
-19.02	184.23	270	5.1	72
-20.9	181.51	548	4.7	32
-19.06	169.01	158	4.4	10
-17.88	181.47	562	4.4	27
-19.41	183.05	300	4.2	16
-26.17	184.2	65	4.9	37
-14.95	167.24	130	4.6	16
-18.73	168.8	82	4.4	14
-20.21	182.37	482	4.6	37
-21.29	180.85	607	4.5	23
-19.76	181.41	105	4.4	15
-22.09	180.38	590	4.9	35
-23.8	179.9	498	4.1	12
-20.16	181.99	504	4.2	11
-22.13	180.38	577	5.7	104
-17.44	181.4	529	4.6	25
-23.33	180.18	528	5	59
-24.78	179.22	492	4.3	16
-22	180.52	561	4.5	19
-19.13	182.51	579	5.2	56
-30.72	180.1	413	4.4	22
-22.32	180.54	565	4.2	12
-16.45	177.77	138	4.6	17
-17.7	185	383	4	10
-17.95	184.68	260	4.4	21
-24.4	179.85	522	4.7	29
-19.3	180.6	671	4.2	16
-21.13	185.32	123	4.7	36
-18.07	181.57	572	4.5	26
-20.6	182.28	529	5	50
-18.48	181.49	641	5	49
-13.34	166.2	67	4.8	18
-20.92	181.5	546	4.6	31
-25.31	179.69	507	4.6	35
-15.24	186.21	158	5	57
-16.4	185.86	148	5	47
-24.57	178.4	562	5.6	80
-17.94	181.51	601	4	16
-30.64	181.2	175	4	16
-18.64	169.32	260	4.6	23
-13.09	169.28	654	4.4	22
-19.68	184.14	242	4.8	40
-16.44	185.74	126	4.7	30
-21.09	181.38	555	4.6	15
-14.99	171.39	637	4.3	21
-23.3	179.7	500	4.7	29
-17.68	181.36	515	4.1	19
-22	180.53	583	4.9	20
-21.38	181.39	501	4.6	36
-32.62	181.5	55	4.8	26
-13.05	169.58	644	4.9	68
-12.93	169.63	641	5.1	57
-18.6	181.91	442	5.4	82
-21.34	181.41	464	4.5	21
-21.48	183.78	200	4.9	54
-17.4	181.02	479	4.4	14
-17.32	181.03	497	4.1	13
-18.77	169.24	218	5.3	53
-26.16	179.5	492	4.5	25
-12.59	167.1	325	4.9	26
-14.82	167.32	123	4.8	28
-21.79	183.48	210	5.2	69
-19.83	182.04	575	4.4	23
-29.5	182.31	129	4.4	14
-12.49	166.36	74	4.9	55
-26.1	182.3	49	4.4	11
-21.04	181.2	483	4.2	10
-10.78	165.77	93	4.6	20
-20.76	185.77	118	4.6	15
-11.41	166.24	83	5.3	55
-19.1	183.87	61	5.3	42
-23.91	180	534	4.5	11
-27.33	182.6	42	4.4	11
-12.25	166.6	219	5	28
-23.49	179.07	544	5.1	58
-27.18	182.18	56	4.5	14
-25.8	182.1	68	4.5	26
-27.19	182.18	69	5.4	68
-27.27	182.38	45	4.5	16
-27.1	182.18	43	4.7	17
-27.22	182.28	65	4.2	14
-27.38	181.7	80	4.8	13
-27.27	182.5	51	4.5	13
-27.54	182.5	68	4.3	12
-27.2	182.39	69	4.3	14
-27.71	182.47	103	4.3	11
-27.6	182.4	61	4.6	11
-27.38	182.39	69	4.5	12
-21.54	185.48	51	5	29
-27.21	182.43	55	4.6	10
-28.96	182.61	54	4.6	15
-12.01	166.29	59	4.9	27
-17.46	181.32	573	4.1	17
-30.17	182.02	56	5.5	68
-27.27	182.36	65	4.7	21
-17.79	181.32	587	5	49
-22.19	171.4	150	5.1	49
-17.1	182.68	403	5.5	82
-27.18	182.53	60	4.6	21
-11.64	166.47	130	4.7	19
-17.98	181.58	590	4.2	14
-16.9	185.72	135	4	22
-21.98	179.6	583	5.4	67
-32.14	179.9	406	4.3	19
-18.8	169.21	221	4.4	16
-26.78	183.61	40	4.6	22
-20.43	182.37	502	5.1	48
-18.3	183.2	103	4.5	14
-15.83	182.51	423	4.2	21
-23.44	182.93	158	4.1	20
-23.73	179.99	527	5.1	49
-19.89	184.08	219	5.4	105
-17.59	181.09	536	5.1	61
-19.77	181.4	630	5.1	54
-20.31	184.06	249	4.4	21
-15.33	186.75	48	5.7	123
-18.2	181.6	553	4.4	14
-15.36	186.66	112	5.1	57
-15.29	186.42	153	4.6	31
-15.36	186.71	130	5.5	95
-16.24	167.95	188	5.1	68
-13.47	167.14	226	4.4	26
-25.5	182.82	124	5	25
-14.32	167.33	204	5	49
-20.04	182.01	605	5.1	49
-28.83	181.66	221	5.1	63
-17.82	181.49	573	4.2	14
-27.23	180.98	401	4.5	39
-10.72	165.99	195	4	14
-27	183.88	56	4.9	36
-20.36	186.16	102	4.3	21
-27.17	183.68	44	4.8	27
-20.94	181.26	556	4.4	21
-17.46	181.9	417	4.2	14
-21.04	181.2	591	4.9	45
-23.7	179.6	646	4.2	21
-17.72	181.42	565	5.3	89
-15.87	188.13	52	5	30
-17.84	181.3	535	5.7	112
-13.45	170.3	641	5.3	93
-30.8	182.16	41	4.7	24
-11.63	166.14	109	4.6	36
-30.4	181.4	40	4.3	17
-26.18	178.59	548	5.4	65
-15.7	184.5	118	4.4	30
-17.95	181.5	593	4.3	16
-20.51	182.3	492	4.3	23
-15.36	167.51	123	4.7	28
-23.61	180.23	475	4.4	26
-33.2	181.6	153	4.2	21
-17.68	186.8	112	4.5	35
-22.24	184.56	99	4.8	57
-20.07	169.14	66	4.8	37
-25.04	180.1	481	4.3	15
-21.5	185.2	139	4.4	15
-14.28	167.26	211	5.1	51
-14.43	167.26	151	4.4	17
-32.7	181.7	211	4.4	40
-34.1	181.8	246	4.3	23
-19.7	186.2	47	4.8	19
-24.19	180.38	484	4.3	27
-26.6	182.77	119	4.5	29
-17.04	186.8	70	4.1	22
-22.1	179.71	579	5.1	58
-32.6	180.9	57	4.7	44
-33	182.4	176	4.6	28
-20.58	181.24	602	4.7	44
-20.61	182.6	488	4.6	12
-19.47	169.15	149	4.4	15
-17.47	180.96	546	4.2	23
-18.4	183.4	343	4.1	10
-23.33	180.26	530	4.7	22
-18.55	182.23	563	4	17
-26.16	178.47	537	4.8	33
-21.8	183.2	325	4.4	19
-27.63	182.93	80	4.3	14
-18.89	169.48	259	4.4	21
-20.3	182.3	476	4.5	10
-20.56	182.04	499	4.5	29
-16.1	185.32	257	4.7	30
-12.66	166.37	165	4.3	18
-21.05	184.68	136	4.7	29
-17.97	168.52	146	4.8	33
-19.83	182.54	524	4.6	14
-22.55	183.81	82	5.1	68
-22.28	183.52	90	4.7	19
-15.72	185.64	138	4.3	21
-20.85	181.59	499	5.1	91
-21.11	181.5	538	5.5	104
-25.31	180.15	467	4.5	25
-26.46	182.5	184	4.3	11
-24.09	179.68	538	4.3	21
-16.96	167.7	45	4.7	23
-23.19	182.8	237	4.3	18
-20.81	184.7	162	4.3	20
-15.03	167.32	136	4.6	20
-18.06	181.59	604	4.5	23
-19	185.6	107	4.5	15
-23.53	179.99	538	5.4	87
-18.18	180.63	639	4.6	39
-15.66	186.8	45	4.4	11
-18	180.62	636	5	100
-18.08	180.7	628	5.2	72
-18.05	180.86	632	4.4	15
-29.9	181.16	215	5.1	51
-20.9	181.9	556	4.4	17
-15.61	167.5	135	4.4	21
-16.03	185.43	297	4.8	25
-17.68	181.11	568	4.4	22
-31.94	180.57	168	4.7	39
-19.14	184.36	269	4.7	31
-18	185.48	143	4.4	29
-16.95	185.94	95	4.3	12
-10.79	166.06	142	5	40
-20.83	185.9	104	4.5	19
-32.9	181.6	169	4.6	27
-37.93	177.47	65	5.4	65
-29.09	183.2	54	4.6	23
-23.56	180.23	474	4.5	13
-19.6	185.2	125	4.4	13
-21.39	180.68	617	4.5	18
-14.85	184.87	294	4.1	10
-22.7	183.3	180	4	13
-32.42	181.21	47	4.9	39
-17.9	181.3	593	4.1	13
-23.58	183.4	94	5.2	79
-34.4	180.5	201	4.4	41
-17.61	181.2	537	4.1	11
-21.07	181.13	594	4.9	43
-13.84	170.62	638	4.6	20
-30.24	181.63	80	4.5	17
-18.49	169.04	211	4.8	30
-23.45	180.23	520	4.2	19
-16.04	183.54	384	4.2	23
-17.14	185.31	223	4.1	15
-22.54	172.91	54	5.5	71
-15.9	185.3	57	4.4	19
-30.04	181.2	49	4.8	20
-24.03	180.22	508	4.2	23
-18.89	184.46	242	4.8	36
-16.51	187.1	62	4.9	46
-20.1	186.3	63	4.6	19
-21.06	183.81	203	4.5	34
-13.07	166.87	132	4.4	24
-23.46	180.09	543	4.6	28
-19.41	182.3	589	4.2	19
-11.81	165.98	51	4.7	28
-11.76	165.96	45	4.4	51
-12.08	165.76	63	4.5	51
-25.59	180.02	485	4.9	48
-26.54	183.63	66	4.7	34
-20.9	184.28	58	5.5	92
-16.99	187	70	4.7	30
-23.46	180.17	541	4.6	32
-17.81	181.82	598	4.1	14
-15.17	187.2	50	4.7	28
-11.67	166.02	102	4.6	21
-20.75	184.52	144	4.3	25
-19.5	186.9	58	4.4	20
-26.18	179.79	460	4.7	44
-20.66	185.77	69	4.3	25
-19.22	182.54	570	4.1	22
-24.68	183.33	70	4.7	30
-15.43	167.38	137	4.5	16
-32.45	181.15	41	5.5	81
-21.31	180.84	586	4.5	17
-15.44	167.18	140	4.6	44
-13.26	167.01	213	5.1	70
-15.26	183.13	393	4.4	28
-33.57	180.8	51	4.7	35
-15.77	167.01	64	5.5	73
-15.79	166.83	45	4.6	39
-21	183.2	296	4	16
-16.28	166.94	50	4.6	24
-23.28	184.6	44	4.8	34
-16.1	167.25	68	4.7	36
-17.7	181.31	549	4.7	33
-15.96	166.69	150	4.2	20
-15.95	167.34	47	5.4	87
-17.56	181.59	543	4.6	34
-15.9	167.42	40	5.5	86
-15.29	166.9	100	4.2	15
-15.86	166.85	85	4.5	22
-16.2	166.8	98	4.5	21
-15.71	166.91	58	4.8	20
-16.45	167.54	125	4.6	18
-11.54	166.18	89	5.4	80
-19.61	181.91	590	4.6	34
-15.61	187.15	49	5	30
-21.16	181.41	543	4.3	17
-20.65	182.22	506	4.3	24
-20.33	168.71	40	4.8	38
-15.08	166.62	42	4.7	23
-23.28	184.61	76	4.7	36
-23.44	184.6	63	4.8	27
-23.12	184.42	104	4.2	17
-23.65	184.46	93	4.2	16
-22.91	183.95	64	5.9	118
-22.06	180.47	587	4.6	28
-13.56	166.49	83	4.5	25
-17.99	181.57	579	4.9	49
-23.92	184.47	40	4.7	17
-30.69	182.1	62	4.9	25
-21.92	182.8	273	5.3	78
-25.04	180.97	393	4.2	21
-19.92	183.91	264	4.2	23
-27.75	182.26	174	4.5	18
-17.71	181.18	574	5.2	67
-19.6	183.84	309	4.5	23
-34.68	179.82	75	5.6	79
-14.46	167.26	195	5.2	87
-18.85	187.55	44	4.8	35
-17.02	182.41	420	4.5	29
-20.41	186.51	63	5	28
-18.18	182.04	609	4.4	26
-16.49	187.8	40	4.5	18
-17.74	181.31	575	4.6	42
-20.49	181.69	559	4.5	24
-18.51	182.64	405	5.2	74
-27.28	183.4	70	5.1	54
-15.9	167.16	41	4.8	42
-20.57	181.33	605	4.3	18
-11.25	166.36	130	5.1	55
-20.04	181.87	577	4.7	19
-20.89	181.25	599	4.6	20
-16.62	186.74	82	4.8	51
-20.09	168.75	50	4.6	23
-24.96	179.87	480	4.4	25
-20.95	181.42	559	4.6	27
-23.31	179.27	566	5.1	49
-20.95	181.06	611	4.3	20
-21.58	181.9	409	4.4	19
-13.62	167.15	209	4.7	30
-12.72	166.28	70	4.8	47
-21.79	185	74	4.1	15
-20.48	169.76	134	4.6	33
-12.84	166.78	150	4.9	35
-17.02	182.93	406	4	17
-23.89	182.39	243	4.7	32
-23.07	184.03	89	4.7	32
-27.98	181.96	53	5.2	89
-28.1	182.25	68	4.6	18
-21.24	180.81	605	4.6	34
-21.24	180.86	615	4.9	23
-19.89	174.46	546	5.7	99
-32.82	179.8	176	4.7	26
-22	185.5	52	4.4	18
-21.57	185.62	66	4.9	38
-24.5	180.92	377	4.8	43
-33.03	180.2	186	4.6	27
-30.09	182.4	51	4.4	18
-22.75	170.99	67	4.8	35
-17.99	168.98	234	4.7	28
-19.6	181.87	597	4.2	18
-15.65	186.26	64	5.1	54
-17.78	181.53	511	4.8	56
-22.04	184.91	47	4.9	47
-20.06	168.69	49	5.1	49
-18.07	181.54	546	4.3	28
-12.85	165.67	75	4.4	30
-33.29	181.3	60	4.7	33
-34.63	179.1	278	4.7	24
-24.18	179.02	550	5.3	86
-23.78	180.31	518	5.1	71
-22.37	171.5	116	4.9	38
-23.97	179.91	518	4.5	23
-34.12	181.75	75	4.7	41
-25.25	179.86	491	4.2	23
-22.87	172.65	56	5.1	50
-18.48	182.37	376	4.8	57
-21.46	181.02	584	4.2	18
-28.56	183.47	48	4.8	56
-28.56	183.59	53	4.4	20
-21.3	180.92	617	4.5	26
-20.08	183.22	294	4.3	18
-18.82	182.21	417	5.6	129
-19.51	183.97	280	4	16
-12.05	167.39	332	5	36
-17.4	186.54	85	4.2	28
-23.93	180.18	525	4.6	31
-21.23	181.09	613	4.6	18
-16.23	167.91	182	4.5	28
-28.15	183.4	57	5	32
-20.81	185.01	79	4.7	42
-20.72	181.41	595	4.6	36
-23.29	184	164	4.8	50
-38.46	176.03	148	4.6	44
-15.48	186.73	82	4.4	17
-37.03	177.52	153	5.6	87
-20.48	181.38	556	4.2	13
-18.12	181.88	649	5.4	88
-18.17	181.98	651	4.8	43
-11.4	166.07	93	5.6	94
-23.1	180.12	533	4.4	27
-14.28	170.34	642	4.7	29
-22.87	171.72	47	4.6	27
-17.59	180.98	548	5.1	79
-27.6	182.1	154	4.6	22
-17.94	180.6	627	4.5	29
-17.88	180.58	622	4.2	23
-30.01	180.8	286	4.8	43
-19.19	182.3	390	4.9	48
-18.14	180.87	624	5.5	105
-23.46	180.11	539	5	41
-18.44	181.04	624	4.2	21
-18.21	180.87	631	5.2	69
-18.26	180.98	631	4.8	36
-15.85	184.83	299	4.4	30
-23.82	180.09	498	4.8	40
-18.6	184.28	255	4.4	31
-17.8	181.32	539	4.1	12
-10.78	166.1	195	4.9	45
-18.12	181.71	594	4.6	24
-19.34	182.62	573	4.5	32
-15.34	167.1	128	5.3	18
-24.97	182.85	137	4.8	40
-15.97	186.08	143	4.6	41
-23.47	180.24	511	4.8	37
-23.11	179.15	564	4.7	17
-20.54	181.66	559	4.9	50
-18.92	169.37	248	5.3	60
-20.16	184.27	210	4.4	27
-25.48	180.94	390	4.6	33
-18.19	181.74	616	4.3	17
-15.35	186.4	98	4.4	17
-18.69	169.1	218	4.2	27
-18.89	181.24	655	4.1	14
-17.61	183.32	356	4.2	15
-20.93	181.54	564	5	64
-17.6	181.5	548	4.1	10
-17.96	181.4	655	4.3	20
-18.8	182.41	385	5.2	67
-20.61	182.44	518	4.2	10
-20.74	181.53	598	4.5	36
-25.23	179.86	476	4.4	29
-23.9	179.9	579	4.4	16
-18.07	181.58	603	5	65
-15.43	185.19	249	4	11
-14.3	167.32	208	4.8	25
-18.04	181.57	587	5	51
-13.9	167.18	221	4.2	21
-17.64	177.01	545	5.2	91
-17.98	181.51	586	5.2	68
-25	180	488	4.5	10
-19.45	184.48	246	4.3	15
-16.11	187.48	61	4.5	19
-23.73	179.98	524	4.6	11
-17.74	186.78	104	5.1	71
-21.56	183.23	271	4.4	36
-20.97	181.72	487	4.3	16
-15.45	186.73	83	4.7	37
-15.93	167.91	183	5.6	109
-21.47	185.86	55	4.9	46
-21.44	170.45	166	5.1	22
-22.16	180.49	586	4.6	13
-13.36	172.76	618	4.4	18
-21.22	181.51	524	4.8	49
-26.1	182.5	133	4.2	17
-18.35	185.27	201	4.7	57
-17.2	182.9	383	4.1	11
-22.42	171.4	86	4.7	33
-17.91	181.48	555	4	17
-26.53	178.3	605	4.9	43
-26.5	178.29	609	5	50
-16.31	168.08	204	4.5	16
-18.76	169.71	287	4.4	23
-17.1	182.8	390	4	14
-19.28	182.78	348	4.5	30
-23.5	180	550	4.7	23
-21.26	181.69	487	4.4	20
-17.97	181.48	578	4.7	43
-26.02	181.2	361	4.7	32
-30.3	180.8	275	4	14
-24.89	179.67	498	4.2	14
-14.57	167.24	162	4.5	18
-15.4	186.87	78	4.7	44
-22.06	183.95	134	4.5	17
-25.14	178.42	554	4.1	15
-20.3	181.4	608	4.6	13
-25.28	181.17	367	4.3	25
-20.63	181.61	599	4.6	30
-19.02	186.83	45	5.2	65
-22.1	185.3	50	4.6	22
-38.59	175.7	162	4.7	36
-19.3	183	302	5	65
-31.03	181.59	57	5.2	49
-30.51	181.3	203	4.4	20
-22.55	183.34	66	4.6	18
-22.14	180.64	591	4.5	18
-25.6	180.3	440	4	12
-18.04	181.84	611	4.2	20
-21.29	185.77	57	5.3	69
-21.08	180.85	627	5.9	119
-20.64	169.66	89	4.9	42
-24.41	180.03	500	4.5	34
-12.16	167.03	264	4.4	14
-17.1	185.9	127	5.4	75
-21.13	185.6	85	5.3	86
-12.34	167.43	50	5.1	47
-16.43	186.73	75	4.1	20
-20.7	184.3	182	4.3	17
-21.18	180.92	619	4.5	18
-17.78	185.33	223	4.1	10
-21.57	183.86	156	5.1	70
-13.7	166.75	46	5.3	71
-12.27	167.41	50	4.5	29
-19.1	184.52	230	4.1	16
-19.85	184.51	184	4.4	26
-11.37	166.55	188	4.7	24
-20.7	186.3	80	4	10
-20.24	185.1	86	5.1	61
-16.4	182.73	391	4	16
-19.6	184.53	199	4.3	21
-21.63	180.77	592	4.3	21
-21.6	180.5	595	4	22
-21.77	181	618	4.1	10
-21.8	183.6	213	4.4	17
-21.05	180.9	616	4.3	10
-10.8	165.8	175	4.2	12
-17.9	181.5	589	4	12
-22.26	171.44	83	4.5	25
-22.33	171.46	119	4.7	32
-24.04	184.85	70	5	48
-20.4	186.1	74	4.3	22
-15	184.62	40	5.1	54
-27.87	183.4	87	4.7	34
-14.12	166.64	63	5.3	69
-23.61	180.27	537	5	63
-21.56	185.5	47	4.5	29
-21.19	181.58	490	5	77
-18.07	181.65	593	4.1	16
-26	178.43	644	4.9	27
-20.21	181.9	576	4.1	16
-28	182	199	4	16
-20.74	180.7	589	4.4	27
-31.8	180.6	178	4.5	19
-18.91	169.46	248	4.4	33
-20.45	182.1	500	4.5	37
-22.9	183.8	71	4.3	19
-18.11	181.63	568	4.3	36
-23.8	184.7	42	5	36
-23.42	180.21	510	4.5	37
-23.2	184.8	97	4.5	13
-12.93	169.52	663	4.4	30
-21.14	181.06	625	4.5	35
-19.13	184.97	210	4.1	22
-21.08	181.3	557	4.9	78
-20.07	181.75	582	4.7	27
-20.9	182.02	402	4.3	18
-25.04	179.84	474	4.6	32
-21.85	180.89	577	4.6	43
-19.34	186.59	56	5.2	49
-15.83	167.1	43	4.5	19
-23.73	183	118	4.3	11
-18.1	181.72	544	4.6	52
-22.12	180.49	532	4	14
-15.39	185.1	237	4.5	39
-16.21	186.52	111	4.8	30
-21.75	180.67	595	4.6	30
-22.1	180.4	603	4.1	11
-24.97	179.54	505	4.9	50
-19.36	186.36	100	4.7	40
-22.14	179.62	587	4.1	23
-21.48	182.44	364	4.3	20
-18.54	168.93	100	4.4	17
-21.62	182.4	350	4	12
-13.4	166.9	228	4.8	15
-15.5	185.3	93	4.4	25
-15.67	185.23	66	4.4	34
-21.78	183.11	225	4.6	21
-30.63	180.9	334	4.2	28
-15.7	185.1	70	4.1	15
-19.2	184.37	220	4.2	18
-19.7	182.44	397	4	12
-19.4	182.29	326	4.1	15
