dbbcsd.f	dbdsdc.f	dbdsqr.f	ddisna.f	dgbbrd.f
dsycon.f	dsyconv.f	dsyequb.f	dsyev.f		dsyevd.f
dsyevr.f	dsyevx.f	dsygs2.f	dsygst.f	dsygv.f
dsygvd.f	dsygvx.f	dsyrfs.f	dsysv.f		dsysvx.f
dsyswapr.f	dsytd2.f	dsytf2.f	dsytrd.f	dsytrf.f
dsytri.f	dsytri2.f	dsytri2x.f	dsytrs.f	dsytrs2.f
dtbcon.f	dtbrfs.f	dtbtrs.f	dtfsm.f		dtftri.f
dtfttp.f	dtfttr.f	dtgevc.f	dtgex2.f	dtgexc.f
dtgsen.f	dtgsja.f	dtgsna.f	dtgsy2.f	dtgsyl.f
dtpcon.f	dtpmqrt.f	dtpqrt.f	dtpqrt2.f	dtprfb.f
dtprfs.f	dtptri.f	dtptrs.f	dtpttf.f	dtpttr.f
dtrcon.f	dtrevc.f	dtrexc.f	dtrrfs.f	dtrsen.f
dtrsna.f	dtrsyl.f	dtrti2.f	dtrtri.f	dtrtrs.f
dtrttf.f	dtrttp.f	dtzrzf.f	ieeeck.f	iladlc.f
iladlr.f	ilaenv.f	ilaprec.f	ilatrans.f	iparmq.f
dtrevc3.f
DEPRECATED/dgeqpf.f DEPRECATED/dgegv.f DEPRECATED/dggsvd.f DEPRECATED/dggsvp.f
DEPRECATED/dgegs.f DEPRECATED/dgelsx.f DEPRECATED/dlahrd.f DEPRECATED/dlatzm.f
DEPRECATED/dtzrqf.f
